symbol,strategy,trigger,regime,entry_date,entry_price,stop_loss,take_profit,trailing_stop,peak_price,rsi_at_entry,volume_ratio,confluence,macd_hist,sma50_dist,spy_rsi,holding_days,exit_date,exit_price,exit_reason,pnl_pct,peak_after_exit,missed_upside_pct,win
HOOD,momentum_breakout,breakout,uptrend,2024-10-08,25.61000061035156,23.75,25.61,25.39,28.209999084472656,65.7017417975156,3.058646366885573,3,0.12923108115404902,19.109724900901277,0,23,2024-10-31,25.39,trailing_stop,-0.86,41.66999816894531,64.12,0
HOOD,momentum_breakout,breakout,uptrend,2024-11-11,32.79999923706055,29.15,32.8,37.5,41.66999816894531,73.50837137090727,2.2487522900681367,3,0.44247187074509986,25.546949794744855,0,29,2024-12-10,37.5,trailing_stop,14.33,51.119998931884766,36.32,1
HOOD,momentum_breakout,breakout,uptrend,2025-01-15,45.560001373291016,41.88,45.56,58.75,65.27999877929688,65.266989043538,1.5460767558996786,3,0.1964931006743682,19.00965965717461,0,36,2025-02-20,58.75,trailing_stop,28.95,56.060001373291016,-4.58,1
HOOD,momentum_breakout,breakout,uptrend,2025-06-05,72.51000213623047,61.47,72.51,103.52,115.0199966430664,75.29549510718584,1.766995920847834,3,0.40636454395461996,28.59660979641165,0,83,2025-08-27,103.52,trailing_stop,42.77,150.8699951171875,45.74,1
HOOD,momentum_breakout,breakout,uptrend,2025-09-19,124.77999877929688,110.45,124.78,137.21,152.4600067138672,66.63788684909116,4.220497780358046,3,1.1854082502519998,13.219104987268857,0,25,2025-10-14,137.21,trailing_stop,9.96,147.0800018310547,7.19,1
HOOD,momentum_breakout,breakout,uptrend,2026-05-28,84.83999633789062,79.92,84.84,84.87,94.3000030517578,52.42749379485802,1.8918342061922522,3,0.33323781557376403,9.95579519265391,0,6,2026-06-03,84.87,trailing_stop,0.04,117.5500030517578,38.51,1
HOOD,momentum_breakout,breakout,uptrend,2026-06-17,105.1999969482422,89.35,105.2,97.34,108.1500015258789,70.001162882114,2.110818044209461,3,1.7992912619480599,21.980891122009847,0,7,2026-06-24,97.34,trailing_stop,-7.47,117.5500030517578,20.76,0
MARA,momentum_breakout,breakout,uptrend,2024-02-27,30.309999465942383,21.61,30.31,27.93,31.030000686645508,66.13827218986776,1.5939833875232283,3,0.5475159172971071,27.014845289229513,0,1,2024-02-28,31.03,bearish_divergence,2.38,31.030000686645508,0.0,1
MARA,momentum_breakout,breakout,uptrend,2024-02-29,25.899999618530277,16.4,25.9,24.3,27.0,58.922560597739334,1.6164909405444778,3,0.34762233548995325,12.979921510025111,0,5,2024-03-05,24.3,trailing_stop,-6.18,23.479999542236328,-3.37,0
MARA,momentum_breakout,breakout,uptrend,2024-07-01,22.559999465942383,21.33,22.56,21.33,22.559999465942383,56.61419958054093,1.5377731218878166,3,0.12643707074013474,13.584217940964685,0,2,2024-07-03,21.33,stop_loss,-5.45,26.71999931335449,25.27,0
MARA,momentum_breakout,breakout,uptrend,2024-07-15,24.57999992370605,22.52,24.58,24.05,26.71999931335449,60.39131173317761,2.090529213246357,3,0.23625810769535732,18.7428801693862,0,3,2024-07-18,24.05,trailing_stop,-2.16,24.729999542236328,2.83,0
MARA,momentum_breakout,breakout,uptrend,2024-10-28,18.940000534057617,16.27,18.94,16.27,18.940000534057617,56.53518302320889,1.5020163862819829,3,0.14172716413891695,12.779306073555777,0,4,2024-11-01,16.27,stop_loss,-14.1,27.420000076293945,68.53,0
MARA,momentum_breakout,breakout,uptrend,2024-11-11,25.01000022888184,22.65,25.01,22.71,25.229999542236328,68.42349496136262,2.4582908942409167,3,0.5058551873880247,33.023591484820955,0,2,2024-11-13,22.71,trailing_stop,-9.2,27.420000076293945,20.74,0
MARA,momentum_breakout,breakout,uptrend,2024-11-18,18.11000061035156,12.91,18.11,24.68,27.420000076293945,51.80972940267757,2.0649787669038937,3,0.032192641305642256,3.6477119821511583,0,11,2024-11-29,27.42,bearish_divergence,51.41,27.420000076293945,0.0,1
