symbol,strategy,trigger,confluence,signal_date,entry_date,entry_price,exit_date,exit_price,exit_reason,original_shares,remaining_shares,scaled_out,scale_out_date,scale_out_price,scale_out_shares,scale_out_proceeds,exit_proceeds,commission_paid,entry_commission,total_invested,total_returned,holding_days,stop_loss,take_profit,stdev_20,rsi_at_entry,vol_at_entry,from_queue,pnl,pnl_pct,win
ORCL,momentum_breakout,breakout,2,2025-06-16,2025-06-17,208.052215,2025-09-02,219.278735,trailing_stop,0.29704004,0.14852002,True,2025-07-18,245.453892,0.14852002,35.454818,31.567283,3.0,1.0,62.799839,67.0221,77,193.401659,245.501613,0.0352088443,85.23,1.604,False,4.222261,6.723363,1
CME,momentum_breakout,breakout,2,2025-03-12,2025-03-13,244.636461,2025-09-16,248.53522,trailing_stop,0.71571834,0.71571834,False,,0.0,0.0,0.0,176.881216,2.0,1.0,176.090803,176.881216,187,237.718275,288.671024,0.0141397279,65.86,1.809,False,0.790413,0.448867,1
ORCL,momentum_breakout,breakout,2,2025-09-16,2025-09-17,304.526818,2025-09-26,289.408427,trailing_stop,0.49612127,0.49612127,False,,0.0,0.0,0.0,142.581677,2.0,1.0,152.082232,142.581677,9,251.541143,359.341645,0.08699673,68.95,1.908,False,-9.500555,-6.246986,0
SO,momentum_breakout,breakout,2,2025-09-29,2025-09-30,90.92162,2025-11-06,88.003157,stop_loss,1.66023026,1.66023026,False,,0.0,0.0,0.0,145.105503,2.0,1.0,151.950825,145.105503,37,89.726769,107.287512,0.0065707777,59.28,1.628,False,-6.845321,-4.504958,0
DDOG,momentum_breakout,breakout,2,2025-11-06,2025-11-07,184.474283,2025-11-19,177.092734,trailing_stop,0.8419646,0.8419646,False,,0.0,0.0,0.0,148.105813,2.0,1.0,156.320816,148.105813,12,163.529807,217.679654,0.056768012,73.98,5.06,False,-8.215003,-5.25522,0
TMO,momentum_breakout,breakout,2,2025-07-23,2025-07-24,465.083396,2026-02-04,569.366973,trailing_stop,0.33652279,0.1682614,True,2025-10-22,553.00121,0.1682614,92.048756,94.802483,3.0,1.0,157.511164,186.851239,195,437.42698,548.798407,0.0297327492,67.7,2.882,False,29.340075,18.627298,1
BKNG,mean_reversion,oversold,2,2026-02-04,2026-02-05,184.821365,2026-02-10,167.402119,stop_loss,0.88018552,0.88018552,False,,0.0,0.0,0.0,146.34492,2.0,1.0,163.677088,146.34492,5,175.537859,203.303501,0.0251148075,27.91,2.347,False,-17.332168,-10.589245,0
GOOGL,momentum_breakout,breakout,2,2025-09-02,2025-09-03,225.647058,2026-02-13,306.82544,trailing_stop,0.13894285,0.06947143,True,2025-10-28,268.721467,0.06947143,17.668464,20.315601,3.0,1.0,32.352046,37.984065,163,220.48715,266.263529,0.0114335826,68.03,1.588,False,5.632019,17.408539,1
VRTX,momentum_breakout,breakout,2,2026-02-13,2026-02-17,489.949451,2026-02-20,466.473062,stop_loss,0.25764576,0.25764576,False,,0.0,0.0,0.0,119.184807,2.0,1.0,127.233399,119.184807,3,469.304049,578.140353,0.0210689102,60.85,1.765,False,-8.048592,-6.325849,0
MAR,momentum_breakout,breakout,2,2026-02-10,2026-02-11,356.865306,2026-03-03,320.990211,stop_loss,0.44359486,0.44359486,False,,0.0,0.0,0.0,141.389608,2.0,1.0,159.303615,141.389608,20,339.699865,421.101061,0.0240503076,76.42,2.405,False,-17.914008,-11.245198,0
IWM,momentum_breakout,breakout,2,2025-08-22,2025-08-25,231.360602,2026-03-23,245.695331,trailing_stop,0.17376857,0.17376857,False,,0.0,0.0,0.0,41.694126,2.0,1.0,41.2032,41.694126,210,224.573866,273.00551,0.0146670077,64.3,1.613,False,0.490925,1.191474,1
CME,momentum_breakout,breakout,2,2026-02-25,2026-02-26,300.470552,2026-03-26,294.337467,stop_loss,0.40071982,0.40071982,False,,0.0,0.0,0.0,116.946858,2.0,1.0,121.404507,116.946858,28,292.846263,354.555252,0.0126872484,72.78,1.592,False,-4.457649,-3.671732,0
XLE,momentum_breakout,breakout,2,2026-03-31,2026-04-01,59.000985,2026-04-09,57.384403,stop_loss,2.65611205,2.65611205,False,,0.0,0.0,0.0,151.419405,2.0,1.0,157.713226,151.419405,8,57.709983,69.621162,0.0109405064,73.77,1.514,False,-6.293821,-3.990674,0
COP,momentum_breakout,breakout,2,2026-03-03,2026-03-04,114.880701,2026-04-15,116.404572,trailing_stop,1.35707748,1.35707748,False,,0.0,0.0,0.0,156.970023,2.0,1.0,156.902012,156.970023,42,110.537223,135.559227,0.0189042949,77.44,1.931,False,0.068011,0.043346,1
NFLX,momentum_breakout,breakout,2,2026-04-16,2026-04-17,96.466373,2026-04-22,92.966938,stop_loss,1.56592364,1.56592364,False,,0.0,0.0,0.0,144.579125,2.0,1.0,152.058973,144.579125,5,93.133618,113.83032,0.0172741778,73.33,1.673,False,-7.479848,-4.919044,0
ORCL,momentum_breakout,breakout,2,2026-04-17,2026-04-20,176.373218,2026-04-29,163.307816,trailing_stop,0.49798446,0.49798446,False,,0.0,0.0,0.0,80.324754,2.0,1.0,88.831121,80.324754,9,161.63744,208.120397,0.0417744203,63.13,1.579,False,-8.506367,-9.575886,0
JNJ,momentum_breakout,breakout,2,2025-11-19,2025-11-20,197.745651,2026-05-08,220.356737,trailing_stop,0.78019107,0.39009554,True,2026-02-06,234.942138,0.39009554,90.64988,84.960179,3.0,1.0,155.279392,175.610059,169,193.473379,233.339868,0.0108024422,76.31,1.722,False,20.330667,13.092959,1
NEE,momentum_breakout,breakout,2,2026-04-23,2026-04-24,95.908263,2026-05-08,92.409269,stop_loss,1.4194451,1.4194451,False,,0.0,0.0,0.0,130.169884,2.0,1.0,137.136514,130.169884,14,92.561077,113.17175,0.017449938,59.37,2.06,False,-6.96663,-5.080069,0
TJX,momentum_breakout,breakout,2,2025-08-20,2025-08-21,134.950037,2026-05-14,146.152097,trailing_stop,1.13703145,0.56851573,True,2026-03-02,159.03544,0.56851573,89.414149,82.089765,3.0,1.0,154.442437,171.503914,266,131.936642,159.241044,0.0111648548,79.56,2.454,False,17.061477,11.047143,1
