symbol,strategy,trigger,confluence,signal_date,entry_date,entry_price,exit_date,exit_price,exit_reason,original_shares,remaining_shares,scaled_out,scale_out_date,scale_out_price,scale_out_shares,scale_out_proceeds,exit_proceeds,commission_paid,entry_commission,total_invested,total_returned,holding_days,stop_loss,take_profit,stdev_20,stdev_fallback,rsi_at_entry,vol_at_entry,from_queue,pnl,pnl_pct,pnl_before_commission,win,win_before_commission,mfe_pct,mae_pct,peak_price,peak_date,trough_price,trough_date,mfe_before_first_tier_pct,mfe_after_first_tier_pct,price_giveback_pct,economic_giveback_pct,trail_activated,trail_activation_date,highest_trailing_stop,tiers_hit,time_stop_bound,exit_policy_version
ENPH,mean_reversion,oversold+volume+sma_support,3,2023-01-06,2023-01-09,236.596361,2023-01-20,224.52525,trailing_stop,0.62976455,0.62976455,False,,0.0,0.0,0.0,140.398042,2.0,1.0,150.0,140.398042,11,222.542537,260.255997,0.0297,False,29.9,1.73,False,-9.601958,-6.401305,-7.601958,0,0,6.1132,-5.7593,251.059998,2023-01-17,222.970001,2023-01-19,6.1132,,11.2152,12.5145,True,2023-01-17,225.953998,0,False,exit_policy_v1
LLY,momentum_breakout,breakout,3,2022-10-31,2022-11-01,335.489178,2023-02-03,323.248231,trailing_stop,0.44412759,0.44412759,False,,0.0,0.0,0.0,142.563457,2.0,1.0,150.0,142.563457,94,325.961286,395.877231,0.0142,False,70.1,1.62,False,-7.436543,-4.957695,-5.436543,0,0,8.5591,-4.204,364.204132,2022-12-02,321.385101,2023-02-02,8.5591,,12.2078,13.5168,True,2022-12-02,327.783719,0,False,exit_policy_v1
REGN,momentum_breakout,breakout,3,2023-02-03,2023-02-06,778.220961,2023-02-10,738.405745,stop_loss,0.19146233,0.19146233,False,,0.0,0.0,0.0,140.376886,2.0,1.0,150.0,140.376886,4,741.333287,918.300733,0.0237,False,63.5,2.06,False,-9.623114,-6.415409,-7.623114,0,0,0.0,-5.1931,778.220961,,737.807556,2023-02-09,0.0,,5.1162,6.4154,False,,741.333287,0,False,exit_policy_v1
GILD,momentum_breakout,breakout,3,2022-10-28,2022-10-31,68.501986,2023-03-02,70.212563,trailing_stop,2.17511942,2.17511942,False,,0.0,0.0,0.0,151.72071,2.0,1.0,150.0,151.72071,122,64.268563,80.832344,0.0309,False,80.8,3.36,False,1.72071,1.14714,3.72071,1,1,14.5025,-0.3303,78.436485,2022-12-08,68.275757,2022-11-02,14.5025,,12.0054,13.3554,True,2022-11-07,70.592837,0,False,exit_policy_v1
XLF,mean_reversion,oversold+volume+sma_support,3,2023-03-13,2023-03-14,30.946368,2023-03-16,29.342187,stop_loss,4.81478155,4.81478155,False,,0.0,0.0,0.0,140.276218,2.0,1.0,150.0,140.276218,2,30.024166,34.041004,0.0149,False,26.4,3.11,False,-9.723782,-6.482521,-7.723782,0,0,0.0,-4.45,30.946368,,29.569254,2023-03-15,0.0,,5.1837,6.4825,False,,30.024166,0,False,exit_policy_v1
REGN,momentum_breakout,breakout,3,2023-03-24,2023-03-27,814.515021,2023-04-27,767.313748,stop_loss,0.18293094,0.18293094,False,,0.0,0.0,0.0,139.365427,2.0,1.0,150.0,139.365427,31,781.93442,961.127725,0.02,False,66.0,1.65,False,-10.634573,-7.089716,-8.634573,0,0,0.9911,-5.376,822.587341,2023-04-13,770.726929,2023-04-26,0.9911,,6.7861,8.0808,False,,781.93442,0,False,exit_policy_v1
FSLR,momentum_breakout,breakout,3,2023-03-01,2023-03-02,195.925726,2023-05-01,182.397422,trailing_stop,0.76049227,0.76049227,False,,0.0,0.0,0.0,137.711829,2.0,1.0,150.0,137.711829,60,179.076113,231.192356,0.043,False,64.3,6.49,False,-12.288171,-8.192114,-10.288171,0,0,12.022,-6.8116,219.479996,2023-04-18,182.580002,2023-04-28,12.022,,18.9269,20.2142,True,2023-03-03,197.531996,0,False,exit_policy_v1
ANET,momentum_breakout,breakout,3,2023-03-08,2023-03-09,37.234696,2023-05-03,33.741227,trailing_stop,4.00164408,4.00164408,False,,0.0,0.0,0.0,134.020379,2.0,1.0,150.0,134.020379,55,35.81233,43.936941,0.0191,False,65.5,1.61,False,-15.979621,-10.65308,-13.979621,0,0,13.7313,-9.3722,42.3475,2023-03-23,33.744999,2023-05-02,13.7313,,23.1136,24.3844,True,2023-03-16,38.11275,0,False,exit_policy_v1
SBUX,momentum_breakout,breakout,3,2023-05-01,2023-05-02,105.190145,2023-05-04,95.608895,stop_loss,1.4164825,1.4164825,False,,0.0,0.0,0.0,134.428326,2.0,1.0,150.0,134.428326,2,103.612293,124.124371,0.0075,False,66.6,1.63,True,-15.571674,-10.381116,-13.571674,0,0,0.0,-9.288,105.190145,,95.420067,2023-05-03,0.0,,9.1085,10.3811,False,,103.612293,0,False,exit_policy_v1
NVO,momentum_breakout,breakout,3,2023-04-13,2023-04-14,77.046168,2023-05-05,73.929736,stop_loss,1.9339054,1.9339054,False,,0.0,0.0,0.0,141.973116,2.0,1.0,150.0,141.973116,21,74.919694,90.914478,0.0138,False,76.2,2.49,False,-8.026884,-5.351256,-6.026884,0,0,2.2331,-5.0028,78.766701,2023-04-21,73.191666,2023-05-04,2.2331,,6.278,7.5844,False,,74.919694,0,False,exit_policy_v1
