symbol,strategy,trigger,confluence,signal_date,entry_date,entry_price,exit_date,exit_price,exit_reason,original_shares,remaining_shares,scaled_out,scale_out_date,scale_out_price,scale_out_shares,scale_out_proceeds,exit_proceeds,commission_paid,entry_commission,total_invested,total_returned,holding_days,stop_loss,take_profit,stdev_20,stdev_fallback,rsi_at_entry,vol_at_entry,from_queue,pnl,pnl_pct,pnl_before_commission,win,win_before_commission
ALK,mean_reversion,bullish_div+sma_support,2,2023-05-11,2023-05-12,43.253209,2023-06-13,49.740211,mean_reversion_complete,3.4448311,1.72241555,True,2023-06-08,48.04191,1.72241555,81.748133,84.673313,3.0,1.0,150.0,166.421446,32,41.799901,47.57853,0.0168,False,48.4,0.73,False,16.421446,10.947631,19.421446,1,1
IOT,momentum_breakout,breakout,3,2023-06-05,2023-06-06,27.26724,2023-06-22,26.943029,trailing_stop,5.46443282,5.46443282,False,,0.0,0.0,0.0,146.228374,2.0,1.0,150.0,146.228374,16,23.373478,32.175343,0.0714,False,72.6,2.89,False,-3.771626,-2.514418,-1.771626,0,0
MNDY,momentum_breakout,breakout,3,2023-05-31,2023-06-01,176.616442,2023-06-23,173.096734,bearish_divergence,0.84363606,0.84363606,False,,0.0,0.0,0.0,145.030647,2.0,1.0,150.0,145.030647,22,161.321459,208.407402,0.0433,False,74.3,2.72,False,-4.969353,-3.312902,-2.969353,0,0
DVN,mean_reversion,bullish_div+sma_support,2,2023-06-07,2023-06-08,44.157936,2023-06-26,42.404053,stop_loss,3.37425192,3.37425192,False,,0.0,0.0,0.0,142.081957,2.0,1.0,150.0,142.081957,18,42.320966,48.573729,0.0208,False,49.9,0.9,False,-7.918043,-5.278696,-5.918043,0,0
UAL,momentum_breakout,breakout,3,2023-06-27,2023-06-28,56.276221,2023-06-30,54.335609,stop_loss,2.64765467,2.64765467,False,,0.0,0.0,0.0,142.86193,2.0,1.0,150.0,142.86193,2,54.520403,66.405941,0.0156,False,73.0,1.83,False,-7.13807,-4.758713,-5.13807,0,0
GLBE,momentum_breakout,breakout,3,2023-06-29,2023-06-30,40.97093,2023-08-08,38.071891,bearish_divergence,3.63672484,3.63672484,False,,0.0,0.0,0.0,137.45699,2.0,1.0,150.0,137.45699,39,38.774888,48.345698,0.0268,False,71.1,2.14,False,-12.54301,-8.362006,-10.54301,0,0
CLF,mean_reversion,bullish_div+sma_support,2,2023-06-07,2023-06-08,16.236219,2023-08-10,15.67431,trailing_stop,9.17701326,9.17701326,False,,0.0,0.0,0.0,142.843347,2.0,1.0,150.0,142.843347,63,15.404925,17.859841,0.0256,False,53.3,0.88,False,-7.156653,-4.771102,-5.156653,0,0
DAL,momentum_breakout,breakout,3,2023-06-23,2023-06-26,41.402436,2023-08-16,41.590103,trailing_stop,3.59882208,3.59882208,False,,0.0,0.0,0.0,148.67538,2.0,1.0,150.0,148.67538,51,40.516424,48.854874,0.0107,False,75.1,1.81,False,-1.32462,-0.88308,0.67538,0,1
JACK,mean_reversion,oversold+sma_support,2,2023-08-14,2023-08-15,79.46855,2023-08-18,75.496268,stop_loss,1.87495556,1.87495556,False,,0.0,0.0,0.0,140.552147,2.0,1.0,150.0,140.552147,3,76.51232,87.415405,0.0186,False,29.0,1.33,False,-9.447853,-6.298569,-7.447853,0,0
CHEF,mean_reversion,oversold+sma_support,2,2023-08-04,2023-08-08,29.61959,2023-09-07,27.23274,stop_loss,5.03045448,5.03045448,False,,0.0,0.0,0.0,135.99306,2.0,1.0,150.0,135.99306,30,27.641002,32.581549,0.0334,False,28.4,1.03,False,-14.00694,-9.33796,-12.00694,0,0
