symbol,strategy,trigger,confluence,entry_date,entry_price,exit_date,exit_price,exit_reason,original_shares,scaled_out,holding_days,pnl,pnl_pct,rsi_at_entry,vol_at_entry,win
SHW,momentum_breakout,breakout,3,2022-05-03,257.86,2022-06-07,266.34,bearish_divergence,0.4648,False,35,2.94,2.45,55.66913496527887,1.5038306900480638,1
LMT,momentum_breakout,breakout,3,2022-03-04,400.1,2022-06-14,374.65,trailing_stop,0.5412,False,102,-14.77,-6.82,82.21205420690444,1.6787340299645,0
NEE,mean_reversion,oversold,2,2022-04-26,65.45,2022-06-14,64.03,trailing_stop,3.0996,False,49,-5.41,-2.67,29.7949650644545,1.790396374931782,0
CAT,mean_reversion,bullish_div,2,2022-05-23,186.44,2022-06-14,192.48,trailing_stop,0.9679,True,22,10.84,6.01,41.000395978914504,1.6328707193604477,1
APD,momentum_breakout,breakout,3,2022-06-09,224.47,2022-07-13,207.86,stop_loss,0.9038,False,34,-16.01,-7.89,62.40221981367189,1.6236355124066728,0
FDX,momentum_breakout,breakout,3,2022-06-21,172.69,2022-07-13,161.95,trailing_stop,1.1287,False,22,-13.12,-6.73,56.63917436499739,1.862368788619145,0
IBM,momentum_breakout,breakout,3,2022-06-27,122.07,2022-07-13,117.63,stop_loss,0.9087,False,16,-5.03,-4.54,59.001194345235405,2.1831879521001762,0
MRK,momentum_breakout,breakout,3,2022-06-27,82.69,2022-07-15,84.09,bearish_divergence,2.3807,False,18,2.32,1.18,64.23271480931892,1.8855689570126513,1
NFLX,momentum_breakout,breakout,3,2022-07-22,22.26,2022-08-26,22.41,trailing_stop,8.5332,False,35,0.32,0.17,61.221270762793395,1.8415438091813496,1
VZ,mean_reversion,oversold,2,2022-07-25,33.99,2022-08-30,32.74,stop_loss,5.5384,False,36,-7.94,-4.22,28.578096004364458,2.9750150308083705,0
DHR,momentum_breakout,breakout,3,2022-07-22,241.04,2022-08-31,235.94,trailing_stop,0.7857,False,40,-5.0,-2.64,61.88477053324193,1.8939739059927052,0
SNOW,momentum_breakout,breakout,3,2022-08-29,194.19,2022-09-02,172.59,stop_loss,0.9918,False,4,-22.43,-11.64,67.43146257692335,2.659600342226767,0
CMG,momentum_breakout,breakout,3,2022-07-26,26.39,2022-09-12,34.92,bearish_divergence,4.3227,True,48,27.65,24.23,50.97100473379597,1.5489717344351581,1
