symbol,strategy,trigger,confluence,entry_date,entry_price,exit_date,exit_price,exit_reason,original_shares,remaining_shares,scaled_out,scale_out_price,holding_days,pnl,pnl_pct,peak_price,rsi_at_entry,vol_at_entry,portfolio_value,win
DHR,momentum_breakout,breakout,3,2023-01-24,236.16571044921875,2023-02-09,223.04,stop_loss,0.8805414874960932,0.88,False,,16,-11.56,-5.56,236.17,52.88533527041325,2.095561460400197,1078.36,0
NET,momentum_breakout,breakout,3,2023-02-09,58.16999816894531,2023-02-17,65.16,trailing_stop,3.4137309781574023,1.71,True,68.64,8,29.8,15.01,72.4,62.81131674513106,1.5831607619260835,1096.9,1
UNP,mean_reversion,oversold,2,2022-09-27,179.9938507080078,2023-02-21,179.05,trailing_stop,1.0721330826208624,0.54,True,197.99,147,9.14,4.74,198.95,29.359482592969613,1.7180025521268771,1064.55,1
NFLX,momentum_breakout,breakout,3,2023-01-19,31.577999114990234,2023-02-23,33.12,trailing_stop,6.682123381643748,6.68,False,,35,10.28,4.87,36.8,57.43150625144774,2.1021936324365527,1060.41,1
ROKU,momentum_breakout,breakout,2,2023-02-17,71.55999755859375,2023-03-09,61.36,stop_loss,3.065683603342684,3.07,False,,20,-31.27,-14.25,71.56,69.77585515616359,1.9607197582602705,1061.46,0
V,momentum_breakout,breakout,3,2023-01-27,224.91709899902344,2023-03-10,211.66,stop_loss,0.2644231422816398,0.26,False,,42,-3.51,-5.89,224.92,69.24228743393856,1.9214041614724924,1056.19,0
BRK-B,momentum_breakout,breakout,3,2022-11-11,309.7200012207031,2023-03-17,293.67,stop_loss,0.6840562075719406,0.68,False,,126,-10.98,-5.18,320.37,66.27390485748434,1.602792726421124,1065.08,0
PANW,momentum_breakout,breakout,3,2023-02-22,93.875,2023-03-21,97.25,bearish_divergence,1.1314947984468533,1.13,False,,27,3.81,3.59,97.25,69.27545125790692,4.119071257442441,1091.82,1
FSLR,momentum_breakout,breakout,3,2023-03-01,195.67999267578125,2023-03-31,217.5,bearish_divergence,1.078394554254196,1.08,False,,30,23.53,11.15,217.5,64.28460032267913,6.49207399031384,1110.24,1
NOW,momentum_breakout,breakout,3,2023-03-31,92.94400024414062,2023-04-13,96.7,bearish_divergence,2.389058252306841,2.39,False,,13,8.97,4.04,96.7,56.983131337237516,1.7514096067375633,1108.65,1
AMD,momentum_breakout,breakout,3,2023-03-22,97.58000183105467,2023-04-17,90.25,trailing_stop,1.0867729938925481,1.09,False,,26,-7.96,-7.51,100.28,69.68186700379609,1.5469216459840534,1110.05,0
AAPL,momentum_breakout,breakout,3,2023-03-17,152.514404296875,2023-04-19,164.94,bearish_divergence,1.3025953755472712,1.3,False,,33,16.19,8.15,164.94,61.40609811312661,1.5573749268784765,1100.82,1
ANET,momentum_breakout,breakout,3,2023-03-09,37.16249847412109,2023-05-02,38.11,trailing_stop,5.4185125050482705,5.42,False,,54,5.15,2.56,42.35,68.17532697509664,1.6833699001452542,1077.62,1
GE,momentum_breakout,breakout,3,2023-03-10,71.39820098876953,2023-05-03,79.85,bearish_divergence,0.8023285004048016,0.8,False,,54,6.78,11.84,79.85,79.65645829901834,2.339881620056042,1084.01,1
SBUX,momentum_breakout,breakout,3,2023-05-02,105.05753326416016,2023-05-03,99.23,stop_loss,2.0209314885970486,2.02,False,,1,-11.78,-5.55,105.06,71.32031438904053,1.7679566128490174,1084.01,0
ISRG,momentum_breakout,breakout,3,2023-04-19,298.57000732421875,2023-06-05,317.49,bearish_divergence,0.72765381604507,0.73,False,,47,13.77,6.34,317.49,80.9621624848402,3.424267281514654,1091.13,1
BIIB,momentum_breakout,breakout,3,2023-05-03,311.0,2023-06-23,293.23,stop_loss,0.14855631739949765,0.15,False,,51,-2.64,-5.71,318.06,72.06125756142079,2.634600934751686,1111.14,0
NVO,momentum_breakout,breakout,3,2023-04-13,76.48102569580078,2023-07-11,70.89,trailing_stop,2.899154423776934,2.9,False,,89,-16.21,-7.31,78.77,76.16299222707468,2.487905133873394,1104.08,0
MARA,momentum_breakout,breakout,3,2023-06-23,12.710000038146973,2023-07-17,17.37,trailing_stop,3.900560812718372,1.95,True,15.0,24,13.55,27.34,19.3,64.64452495231491,2.111416837722878,1159.56,1
AAPL,momentum_breakout,breakout,3,2023-06-05,176.94459533691406,2023-07-19,192.24,bearish_divergence,1.2332968065933105,1.23,False,,44,18.86,8.64,192.24,71.34280457716642,2.0890430700409692,1170.77,1
COIN,momentum_breakout,breakout,3,2023-07-11,89.1500015258789,2023-07-24,99.14,trailing_stop,2.476910545313533,1.24,True,105.2,13,32.24,14.6,110.15,73.85464958818699,2.047849812521115,1165.85,1
MSFT,momentum_breakout,breakout,3,2023-07-19,346.22076416015625,2023-07-26,333.39,stop_loss,0.6763130901464022,0.68,False,,7,-8.68,-3.71,346.22,68.582244140218,1.513395601607975,1160.0,0
TMO,momentum_breakout,breakout,3,2023-07-24,566.0608520507812,2023-08-01,542.91,stop_loss,0.21929378271277566,0.22,False,,8,-5.08,-4.09,568.92,67.09132204797191,2.1910963364063196,1156.96,0
AMD,momentum_breakout,breakout,3,2023-08-01,117.5999984741211,2023-08-02,112.61,stop_loss,1.0188547320013046,1.02,False,,1,-5.08,-4.24,117.6,54.20363422728384,1.580879513381535,1142.98,0
JPM,momentum_breakout,breakout,3,2023-07-17,143.583984375,2023-09-05,136.53,stop_loss,1.1562280106130836,1.16,False,,50,-8.16,-4.91,147.91,70.18475664040227,1.5089576440456471,1179.91,0
GOOGL,momentum_breakout,breakout,3,2023-07-26,128.051513671875,2023-09-18,136.91,bearish_divergence,1.7722500971703334,1.77,False,,54,15.69,6.92,136.91,64.0930338647864,1.8156276418131168,1189.62,1
ABNB,momentum_breakout,breakout,3,2023-09-05,142.2899932861328,2023-09-21,132.75,trailing_stop,1.6584639211876635,1.66,False,,16,-15.82,-6.7,147.5,60.83677902606365,4.2784113252064495,1163.79,0
JNJ,momentum_breakout,breakout,3,2023-04-18,145.6873779296875,2023-09-29,143.16,trailing_stop,0.7723747640206261,0.77,False,,164,-1.95,-1.73,159.07,56.127693791995966,1.839896259220631,1158.72,0
LLY,momentum_breakout,breakout,3,2023-05-03,420.4004211425781,2023-09-29,528.37,trailing_stop,0.5157047717121463,0.26,True,496.07,149,47.35,21.84,587.08,81.65168864522516,2.997727245824406,1158.72,1
