symbol,entry_date,exit_date,entry_price,exit_price,qty,pnl,pnl_pct,reason,stop_pct_used,tiers_fired,held_days,scaled_pnl
CELH,2022-09-22,2022-11-09,29.981650508880612,26.203558841705323,4.104510522646158,-15.507217003442733,-12.601346500441036,stop_loss,0.096533,[],48,0.0
TOST,2022-11-02,2022-11-29,19.809238367423752,17.11144083881378,6.820555010443415,-18.40047645092261,-13.618885686420398,stop_loss,0.117959,[],27,0.0
DECK,2022-08-22,2022-12-09,54.75402882957458,62.15057649421692,1.8180858567744596,13.44755869804439,13.5086820508945,trailing_stop,0.072641,[0.15],109,5.056944429634662
HBM,2022-12-06,2022-12-15,5.466736518859863,5.054159011363984,22.48507854291761,-9.276837661086006,-7.547053092325101,stop_loss,0.06381,[],9,0.0
WDAY,2022-12-16,2023-01-05,175.30761122131346,160.10990744018557,0.6893026444097059,-10.475817405286847,-8.669163691895768,stop_loss,0.057624,[],20,0.0
CROX,2022-11-25,2023-01-19,94.95745866394043,121.3692853050232,0.7329998529913541,19.35986504514679,27.814378157018343,trailing_stop,0.074257,"[0.15, 0.3]",55,12.706713002069986
ATI,2022-09-26,2023-02-09,28.83000409491327,38.520730915069585,2.94751517512689,28.56356436041989,33.61333834103108,trailing_stop,0.058199,"[0.15, 0.3]",136,14.602179408537168
LYFT,2023-02-09,2023-02-10,16.228109313011167,10.304845419406892,8.191342406932216,-48.51948271913113,-36.50002461380511,stop_loss,0.15,[],1,0.0
ANF,2022-12-15,2023-02-21,23.24207070791511,28.885549618721015,4.255134052796208,24.013759289607464,24.28130858789622,trailing_stop,0.068362,"[0.15, 0.3]",68,13.418984932447973
U,2023-02-10,2023-02-21,36.470852620828346,36.46175954246521,3.255750378043241,-0.02960479331835586,-0.02493245347914741,trailing_stop,0.15,[0.15],11,6.115536049594073
CENX,2023-02-06,2023-03-09,10.732108785171036,11.324334923744203,10.834310804636113,6.416362051931188,5.5182644010417485,trailing_stop,0.083382,[0.15],31,5.455203234638418
JBLU,2023-02-22,2023-03-09,8.204099809169769,7.6661650762557985,15.465438372432464,-8.319396460271918,-6.556901371588844,stop_loss,0.050734,[],15,0.0
CLF,2023-01-24,2023-03-15,20.200095534324646,17.651169847488404,6.4633357687912065,-16.474562563719374,-12.618384316574277,stop_loss,0.086948,[],50,0.0
CENX,2023-03-10,2023-03-17,10.085039923667908,8.655669847488404,12.376748227547246,-17.690953556863747,-14.173172213478407,stop_loss,0.124396,[],7,0.0
TWLO,2023-03-09,2023-03-20,68.93445152664184,62.54871183013916,1.8468269084696662,-11.793355901984057,-9.263495327927155,stop_loss,0.088076,[],11,0.0
OKTA,2023-03-21,2023-04-05,84.52224335861206,78.55070133972168,1.4532269272463025,-8.678005659034241,-7.065053862276513,stop_loss,0.054729,[],15,0.0
ASAN,2023-03-24,2023-04-12,20.43021007633209,18.5707099237442,5.997001476844161,-11.151425161261528,-9.101718218463537,stop_loss,0.070568,[],19,0.0
ANF,2023-04-11,2023-04-12,27.443715305328368,25.587200381278993,4.414489753013798,-8.195566108533157,-6.76480900415448,stop_loss,0.063402,[],1,0.0
ROKU,2023-04-03,2023-04-21,65.7428540840149,58.02097423744202,1.8827901788659431,-14.538679537510262,-11.745580495645715,stop_loss,0.106897,[],18,0.0
CLF,2023-04-17,2023-04-21,17.268630228996276,15.872060114383698,6.905585354405455,-9.644134129868974,-8.087324217919466,stop_loss,0.059528,[],4,0.0
CENX,2023-04-25,2023-05-11,8.086340457243441,7.196399809360504,15.80319313485379,-14.063903937050952,-11.005480817787745,stop_loss,0.091302,[],16,0.0
DASH,2023-02-21,2023-05-16,58.089031373977654,64.1479103050232,1.634689319384718,9.90438467602526,10.430332177581748,trailing_stop,0.069438,[0.15],84,5.00068587210426
ASAN,2023-05-16,2023-06-05,18.259124999999997,22.088950381278995,3.675525113018834,14.076619367367883,20.974857126390216,trailing_stop,0.085025,"[0.15, 0.3]",20,11.740363962681336
PATH,2023-05-17,2023-06-09,15.12755988550186,17.1614150762558,5.996009969233372,12.195015999737663,13.444700970598511,trailing_stop,0.128178,[0.15],23,5.503326861212589
AFRM,2023-06-14,2023-07-06,16.809443716354966,13.783104961872102,8.61242063942569,-26.064102351002063,-18.003800753610598,stop_loss,0.147895,[],22,0.0
MDB,2023-04-24,2023-07-07,270.0279163984384,388.42568511962895,0.34343393209354967,40.66181126302118,43.846491985106205,trailing_stop,0.050977,"[0.15, 0.3, 0.5]",74,33.02926679780955
BILL,2023-06-14,2023-07-20,114.2971178627014,129.20536927032472,0.8563865648673504,12.767226211153385,13.043418492434567,trailing_stop,0.063898,[0.15],36,6.038984694572967
GTLB,2023-07-10,2023-07-27,50.375173473358146,46.8515625,2.550065660179582,-8.98543934299255,-6.994737150079837,stop_loss,0.060672,[],17,0.0
TPR,2023-05-12,2023-08-10,37.90151727676391,32.10031296920777,3.135758369041937,-18.191174957941314,-15.305994916231638,stop_loss,0.094186,[],90,0.0
RIVN,2023-08-07,2023-08-11,24.29214068698883,21.55921469497681,5.32312082603984,-14.547695264104789,-11.250247671568154,stop_loss,0.099879,[],4,0.0
AR,2023-08-21,2023-08-23,27.793890686988828,25.847070610046384,4.512862247771509,-8.785730828437181,-7.004489219833516,stop_loss,0.067858,[],2,0.0
RKLB,2023-08-24,2023-09-11,5.798596054763365,6.036979961872101,20.13073457618572,4.798843161240072,4.111062485770336,trailing_stop,0.075695,[0.15],18,4.739946012551279
UPST,2023-08-10,2023-09-18,32.06602423667908,28.915535305023194,3.894152860308952,-12.268485484579443,-9.825006394313645,stop_loss,0.089324,[],39,0.0
OKTA,2023-07-27,2023-09-19,70.34515255737304,81.99898091506958,1.3706701846928588,15.973555067422794,16.566640250288398,trailing_stop,0.089339,[0.15],54,5.995810681646162
