symbol,entry_date,exit_date,entry_price,exit_price,qty,pnl,pnl_pct,reason,stop_pct_used,tiers_fired,held_days,scaled_pnl
CELH,2022-09-22,2022-11-09,29.981650508880612,26.203558841705323,6.758800685104967,-25.53536854849372,-12.601346500441036,stop_loss,0.096533,[],48,0.0
TOST,2022-11-02,2022-11-29,19.797402377707773,17.11144083881378,11.117115053832784,-29.860143458054267,-13.567242245469698,stop_loss,0.117959,[],27,0.0
HBM,2022-12-06,2022-12-15,5.466736518859863,5.054159011363984,36.663555909184645,-15.126558512947184,-7.547053092325101,stop_loss,0.06381,[],9,0.0
UAL,2022-11-03,2022-12-19,40.97047576332092,37.96100954246521,4.897917250442356,-14.74011651775271,-7.345450998032955,stop_loss,0.06368,[],46,0.0
WDAY,2022-12-16,2023-01-05,175.30761122131346,160.10990744018557,1.0712598197628498,-16.28068941338026,-8.669163691895768,stop_loss,0.057624,[],20,0.0
CROX,2022-11-25,2023-01-19,94.95745866394043,121.3692853050232,1.188946356989613,31.40224506635657,27.814378157018343,trailing_stop,0.074257,"[0.15, 0.3]",55,20.61070107959327
EAT,2022-12-20,2023-01-19,33.656719938048404,35.722131677627566,5.6750178399592635,11.721248468973016,6.136699426982026,trailing_stop,0.063896,[0.15],30,7.266247298188858
ATI,2022-09-26,2023-02-09,28.784470921132776,38.520730915069585,4.709310328390043,45.8510697493374,33.82469672836235,trailing_stop,0.058199,"[0.15, 0.3]",136,23.497589995059947
LYFT,2023-02-09,2023-02-10,16.228109313011167,10.304845419406892,13.386648796223234,-79.2926534710302,-36.50002461380511,stop_loss,0.15,[],1,0.0
ANF,2023-01-06,2023-02-21,25.875298653265272,28.885549618721015,6.702627470141744,20.176590813084374,11.633685878542977,trailing_stop,0.068362,[0.15],46,7.885275900157744
U,2023-02-21,2023-02-24,35.963305166665755,29.595195610046385,6.087315917862746,-38.764694670702966,-17.70724222122372,stop_loss,0.15,[],3,0.0
CENX,2023-02-06,2023-03-09,10.55527519083023,11.324334923744203,15.643363159637996,12.030680693427485,7.2860225717476785,trailing_stop,0.083382,[0.15],31,8.961480040801312
JBLU,2023-02-27,2023-03-09,8.274135457992553,7.6661650762557985,23.54566238238341,-14.315065346862411,-7.34784177541443,stop_loss,0.050734,[],10,0.0
DOCU,2023-02-13,2023-03-10,61.880923473358145,49.665153627395625,3.2535067141762917,-39.74408921267133,-19.740768495838342,stop_loss,0.15,[],25,0.0
CLF,2023-01-24,2023-03-15,20.200095534324646,17.651169847488404,10.44698029479173,-26.62857642326668,-12.618384316574277,stop_loss,0.086948,[],50,0.0
CENX,2023-03-10,2023-03-17,10.085039923667908,8.655669847488404,17.982080524480796,-25.7030478091431,-14.173172213478407,stop_loss,0.124396,[],7,0.0
TWLO,2023-03-09,2023-03-20,68.93445152664184,62.54871183013916,2.8442962213781118,-18.162935289466787,-9.263495327927155,stop_loss,0.088076,[],11,0.0
OKTA,2023-03-15,2023-04-05,83.25160408401489,78.55070133972168,2.084284163760846,-9.79801714531024,-5.6466212225162655,stop_loss,0.054729,[],21,0.0
ASAN,2023-03-24,2023-04-12,20.43021007633209,18.5707099237442,8.40666832882782,-15.632201040211129,-9.101718218463537,stop_loss,0.070568,[],19,0.0
ANF,2023-04-11,2023-04-12,27.443715305328368,25.587200381278993,6.137652942613653,-11.39464428659781,-6.76480900415448,stop_loss,0.063402,[],1,0.0
