symbol,strategy,trigger,confluence,entry_date,entry_price,exit_date,exit_price,exit_reason,original_shares,scaled_out,holding_days,pnl,pnl_pct,rsi_at_entry,vol_at_entry,win
ZM,momentum_breakout,breakout,3,2022-06-27,122.6,2022-06-28,114.28,stop_loss,2.1054,False,1,-18.53,-7.18,61.26049907541489,2.0725814184169686,0
DUOL,momentum_breakout,breakout,3,2022-06-27,100.44,2022-07-11,98.98,trailing_stop,2.5916,False,14,-4.78,-1.84,61.340506300110306,4.55182935774433,0
CHEF,momentum_breakout,breakout,3,2022-06-24,36.0,2022-07-14,36.49,trailing_stop,7.0573,False,20,2.43,0.95,53.169090776576745,1.9866605142833174,1
DPZ,momentum_breakout,breakout,3,2022-07-21,390.08,2022-07-22,377.0,stop_loss,0.4445,False,1,-6.81,-3.93,67.07888762303065,1.6844722873128974,0
WING,momentum_breakout,breakout,3,2022-07-21,103.46,2022-07-26,94.01,trailing_stop,2.4513,False,5,-24.18,-9.53,68.36854335129075,1.6053318606285771,0
CELH,momentum_breakout,breakout,3,2022-07-06,25.04,2022-08-09,32.49,trailing_stop,10.08,True,34,59.13,23.43,60.6883729238842,2.5069454845894796,1
WING,momentum_breakout,breakout,3,2022-07-28,109.86,2022-08-22,121.79,trailing_stop,2.29,True,25,35.15,13.97,58.0048827401388,1.518362125635908,1
ONON,momentum_breakout,breakout,3,2022-07-29,21.28,2022-08-22,22.0,trailing_stop,6.4042,False,24,3.62,2.65,55.55192576372949,1.752821633239638,1
CELH,momentum_breakout,breakout,3,2022-08-10,32.27,2022-08-30,34.8,trailing_stop,8.4208,True,20,33.88,12.47,64.80800854779892,5.475399542962276,1
BILL,momentum_breakout,breakout,3,2022-08-23,165.23,2022-09-01,159.42,trailing_stop,1.7014,False,9,-10.89,-3.87,62.47987683535836,1.7540824449117254,0
DECK,momentum_breakout,breakout,3,2022-08-01,51.01,2022-09-12,59.55,bearish_divergence,2.8091,False,42,23.0,16.05,64.82184610097627,2.3600449654729405,1
AA,momentum_breakout,breakout,3,2022-08-31,48.21,2022-09-14,45.27,trailing_stop,5.7147,False,14,-17.78,-6.45,52.06044811014684,1.5875435896596324,0
ARLP,momentum_breakout,breakout,3,2022-07-19,13.49,2022-09-21,15.2,trailing_stop,18.4729,True,64,37.05,14.87,63.89344310107298,1.6476437157847796,1
RIVN,momentum_breakout,breakout,2,2022-09-15,39.84,2022-09-22,34.78,stop_loss,6.5546,False,7,-34.2,-13.1,65.14299464847693,1.5470075132558299,0
VEEV,mean_reversion,oversold,2,2022-09-02,172.46,2022-09-26,162.03,trailing_stop,1.5797,False,24,-17.48,-6.42,28.23656014912086,4.265249742698295,0
URBN,momentum_breakout,breakout,3,2022-08-24,21.7,2022-09-29,20.54,trailing_stop,6.9829,False,36,-9.07,-5.99,54.70497075475936,1.7576491828202205,0
HBM,momentum_breakout,breakout,3,2022-10-04,4.52,2022-10-07,4.08,stop_loss,58.0636,False,3,-26.78,-10.21,51.845501690293155,2.1730701208455154,0
BILL,momentum_breakout,breakout,3,2022-10-05,146.9,2022-10-10,135.32,trailing_stop,1.7553,False,5,-21.32,-8.27,51.20914735310129,1.641510589561106,0
VALE,momentum_breakout,breakout,3,2022-10-10,10.49,2022-10-14,9.49,stop_loss,23.5922,False,4,-24.58,-9.93,61.473898186978985,1.7950373032778946,0
ASAN,momentum_breakout,breakout,3,2022-09-13,26.03,2022-10-19,19.09,stop_loss,7.6125,False,36,-53.82,-27.16,62.90009293658,1.9987007144053246,0
BTU,momentum_breakout,breakout,3,2022-09-29,23.34,2022-10-19,23.8,trailing_stop,10.8537,False,20,4.01,1.58,52.89850437259409,1.5359938962536523,1
TOST,momentum_breakout,breakout,3,2022-10-19,19.9,2022-11-03,19.98,trailing_stop,11.7918,False,15,-0.08,-0.03,57.91990906584992,1.6710386702772289,0
TXRH,momentum_breakout,breakout,3,2022-10-13,86.81,2022-11-10,94.18,bearish_divergence,2.8055,False,28,19.67,8.08,58.480870820296616,1.6773566352299647,1
STLD,momentum_breakout,breakout,3,2022-10-21,81.8,2022-11-22,100.84,bearish_divergence,2.9067,True,32,47.91,20.15,61.484812342152374,1.7193190094683175,1
SMCI,momentum_breakout,breakout,3,2022-11-04,8.03,2022-12-05,8.44,trailing_stop,28.924,False,31,10.85,4.67,73.89080686558253,1.5120332484938304,1
DAL,momentum_breakout,breakout,3,2022-12-06,34.69,2022-12-06,34.63,bearish_divergence,7.0447,False,0,-1.44,-0.59,61.428418472615746,1.672396727937426,0
ANF,momentum_breakout,breakout,3,2022-11-22,22.16,2022-12-15,21.86,trailing_stop,6.114,False,23,-2.85,-2.1,56.33704930842855,1.6233155750548418,0
URBN,momentum_breakout,breakout,3,2022-11-23,27.88,2022-12-16,26.55,trailing_stop,5.0107,False,23,-7.66,-5.48,64.89773555714548,3.218260231193888,0
SKYW,momentum_breakout,breakout,3,2022-12-08,18.19,2022-12-16,17.28,stop_loss,13.2074,False,8,-12.98,-5.4,50.31744780831459,2.0303275842111357,0
RL,momentum_breakout,breakout,3,2022-11-14,96.19,2022-12-19,97.27,trailing_stop,2.5867,False,35,1.79,0.72,60.699118371504994,2.408112197088278,1
EAT,momentum_breakout,breakout,3,2022-12-19,35.29,2022-12-20,33.01,stop_loss,3.2872,False,1,-8.5,-7.33,57.69031700304662,1.56267639471364,0
CMC,momentum_breakout,breakout,3,2022-10-24,41.46,2022-12-21,47.38,bearish_divergence,3.7137,False,58,20.99,13.63,64.39025882932924,1.7808262053485595,1
IOT,momentum_breakout,breakout,3,2022-12-16,12.7,2022-12-28,11.5,trailing_stop,11.7366,False,12,-15.09,-10.12,57.712092377806115,2.3894985623748664,0
DOCU,momentum_breakout,breakout,3,2022-12-19,56.07,2023-01-17,59.66,bearish_divergence,4.3693,False,29,14.69,6.0,58.47167248181748,2.1092539482571984,1
