date,equity,cash,positions,queue_size
2022-12-05,707.51,178.17,5,3
2022-12-06,708.64,302.79,4,4
2022-12-07,711.05,302.79,4,1
2022-12-08,714.63,179.41,5,1
2022-12-09,707.12,179.41,5,1
2022-12-12,711.52,179.41,5,1
2022-12-13,711.7,179.41,5,1
2022-12-14,715.24,179.41,5,2
2022-12-15,695.34,179.41,5,3
2022-12-16,683.15,246.02,4,4
2022-12-19,673.44,221.37,4,6
2022-12-20,676.72,221.37,4,4
2022-12-21,688.06,221.37,4,3
2022-12-22,681.29,221.37,4,2
2022-12-23,679.13,221.37,4,0
2022-12-27,674.41,221.37,4,0
2022-12-28,662.52,221.37,4,0
2022-12-29,663.49,342.47,3,0
2022-12-30,658.71,416.54,2,0
2023-01-03,659.77,416.54,2,0
2023-01-04,663.78,416.54,2,0
2023-01-05,664.31,416.54,2,0
2023-01-06,672.54,167.53,4,0
2023-01-09,687.96,172.27,5,0
2023-01-10,703.68,172.27,5,5
2023-01-11,708.97,172.27,5,7
2023-01-12,709.18,172.27,5,14
2023-01-13,719.15,172.27,5,23
2023-01-17,715.18,172.27,5,30
2023-01-18,708.57,172.27,5,21
2023-01-19,701.23,172.27,5,20
2023-01-20,710.77,172.27,5,16
2023-01-23,721.91,172.27,5,20
2023-01-24,714.98,172.27,5,19
2023-01-25,718.36,172.27,5,14
2023-01-26,725.5,172.27,5,17
2023-01-27,722.89,172.27,5,18
2023-01-30,718.87,212.57,5,27
2023-01-31,727.41,212.57,5,20
2023-02-01,735.78,212.57,5,19
2023-02-02,739.34,291.38,5,18
2023-02-03,733.95,291.38,5,33
2023-02-06,729.32,291.38,5,41
2023-02-07,734.63,291.38,5,37
2023-02-08,726.5,291.38,5,37
2023-02-09,723.67,291.38,5,16
2023-02-10,721.18,328.66,4,10
2023-02-13,724.4,300.77,4,10
2023-02-14,748.96,186.44,5,5
2023-02-15,758.78,186.44,5,4
2023-02-16,746.89,186.44,5,7
2023-02-17,745.18,186.44,5,18
2023-02-21,730.46,186.44,5,27
2023-02-22,733.45,331.13,4,23
2023-02-23,725.53,241.5,5,13
2023-02-24,721.8,241.5,5,4
2023-02-27,720.16,241.5,5,4
2023-02-28,726.47,241.5,5,2
2023-03-01,720.34,241.5,5,2
2023-03-02,728.24,241.5,5,5
2023-03-03,754.32,241.5,5,7
2023-03-06,750.5,241.5,5,11
2023-03-07,750.01,400.58,4,11
2023-03-08,753.71,250.34,5,12
2023-03-09,735.24,250.34,5,12
2023-03-10,718.73,324.85,4,10
2023-03-13,734.07,289.58,4,10
2023-03-14,732.61,184.48,5,4
2023-03-15,741.29,184.48,5,2
2023-03-16,752.7,184.48,5,1
2023-03-17,741.85,184.48,5,2
2023-03-20,747.68,184.48,5,3
2023-03-21,749.86,263.67,4,3
2023-03-22,744.56,186.36,5,2
2023-03-23,752.27,186.36,5,2
2023-03-24,754.01,186.36,5,1
2023-03-27,749.76,186.36,5,1
2023-03-28,745.46,186.36,5,1
2023-03-29,751.79,333.31,4,0
2023-03-30,749.89,187.75,5,0
2023-03-31,763.77,187.75,5,0
2023-04-03,761.4,187.75,5,2
2023-04-04,756.18,187.75,5,5
2023-04-05,737.56,230.0,5,6
2023-04-06,736.5,328.1,4,9
2023-04-10,732.85,183.98,5,7
2023-04-11,734.82,183.98,5,5
2023-04-12,728.91,183.98,5,3
2023-04-13,735.81,322.45,4,4
2023-04-14,737.42,322.45,4,4
2023-04-17,746.79,187.09,5,4
2023-04-18,750.95,187.09,5,4
2023-04-19,749.0,187.09,5,5
2023-04-20,740.96,187.09,5,6
2023-04-21,740.22,187.09,5,7
2023-04-24,738.9,187.09,5,7
2023-04-25,720.62,187.09,5,2
2023-04-26,721.59,451.48,3,1
2023-04-27,715.33,179.4,5,0
2023-04-28,717.4,179.4,5,0
2023-05-01,712.87,179.4,5,1
2023-05-02,691.25,179.4,5,1
2023-05-03,700.39,455.45,3,1
2023-05-04,695.91,316.78,4,1
2023-05-05,694.37,177.11,5,0
2023-05-08,691.86,177.11,5,3
2023-05-09,684.11,177.11,5,5
2023-05-10,688.83,177.11,5,7
2023-05-11,693.11,177.11,5,10
2023-05-12,692.28,177.11,5,9
2023-05-15,699.96,177.11,5,9
2023-05-16,702.32,177.11,5,6
2023-05-17,715.93,217.01,4,5
2023-05-18,727.95,181.83,5,5
2023-05-19,730.11,267.42,5,8
2023-05-22,731.21,267.42,5,9
2023-05-23,721.59,267.42,5,11
2023-05-24,731.17,267.42,5,14
2023-05-25,746.38,267.42,5,13
2023-05-26,754.01,267.42,5,14
2023-05-30,764.2,300.73,4,16
2023-05-31,761.12,190.01,5,7
2023-06-01,766.9,190.01,5,11
2023-06-02,763.74,190.01,5,13
2023-06-05,769.47,190.01,5,19
2023-06-06,772.38,190.01,5,19
2023-06-07,760.21,190.01,5,17
2023-06-08,770.39,190.01,5,17
2023-06-09,771.79,311.27,4,16
2023-06-12,769.79,193.84,5,20
2023-06-13,763.36,193.84,5,13
2023-06-14,761.85,193.84,5,15
2023-06-15,765.69,301.47,4,16
2023-06-16,756.37,189.32,5,13
2023-06-20,753.3,305.88,4,25
2023-06-21,747.24,187.28,5,14
2023-06-22,752.44,187.28,5,13
2023-06-23,741.14,187.28,5,3
2023-06-26,738.78,187.28,5,8
2023-06-27,765.45,187.28,5,7
2023-06-28,790.48,187.28,5,11
2023-06-29,796.48,264.03,5,9
2023-06-30,800.81,264.03,5,7
2023-07-03,806.45,264.03,5,8
2023-07-05,798.74,264.03,5,5
2023-07-06,792.65,264.03,5,6
2023-07-07,791.09,335.54,4,8
2023-07-10,800.95,200.53,5,8
2023-07-11,803.35,200.53,5,9
2023-07-12,806.58,283.14,5,6
2023-07-13,800.66,283.14,5,11
2023-07-14,797.59,283.14,5,18
2023-07-17,795.95,283.14,5,19
2023-07-18,802.73,283.14,5,22
2023-07-19,808.79,283.14,5,18
2023-07-20,803.11,283.14,5,18
2023-07-21,802.8,283.14,5,19
2023-07-24,801.96,283.14,5,22
2023-07-25,797.97,283.14,5,16
2023-07-26,811.13,283.14,5,18
2023-07-27,794.19,283.14,5,19
2023-07-28,799.55,389.02,4,20
2023-07-31,809.08,227.21,5,24
2023-08-01,800.03,227.21,5,15
2023-08-02,779.29,376.49,4,15
2023-08-03,772.24,376.49,4,11
2023-08-04,761.75,298.41,4,9
2023-08-07,751.95,188.44,5,9
2023-08-08,742.59,312.07,4,2
2023-08-09,763.84,312.07,4,2
2023-08-10,759.47,190.53,5,1
2023-08-11,763.3,190.53,5,1
2023-08-14,770.34,190.53,5,2
2023-08-15,765.67,190.53,5,2
2023-08-16,752.46,190.53,5,1
2023-08-17,737.29,286.72,4,1
2023-08-18,738.3,342.81,3,0
2023-08-21,743.74,342.81,3,0
2023-08-22,744.42,194.17,4,0
2023-08-23,785.05,194.17,4,0
2023-08-24,774.48,286.26,4,0
2023-08-25,782.63,441.26,3,0
2023-08-28,781.19,441.26,3,0
2023-08-29,791.22,441.26,3,0
2023-08-30,790.83,281.65,4,0
2023-08-31,809.22,281.65,4,0
2023-09-01,806.35,202.2,5,1
2023-09-05,804.75,266.18,5,3
2023-09-06,808.08,266.18,5,8
2023-09-07,813.93,266.18,5,10
2023-09-08,807.21,266.18,5,11
2023-09-11,810.85,266.18,5,12
2023-09-12,803.92,266.18,5,8
2023-09-13,796.65,266.18,5,7
2023-09-14,803.93,266.18,5,6
2023-09-15,799.32,266.18,5,10
2023-09-18,795.02,266.18,5,17
2023-09-19,790.41,266.18,5,16
2023-09-20,776.06,266.18,5,16
2023-09-21,767.89,387.57,4,11
2023-09-22,764.16,476.79,3,4
2023-09-25,762.72,547.1,2,4
2023-09-26,760.23,547.1,2,0
2023-09-27,763.07,547.1,2,0
2023-09-28,764.31,394.97,3,0
2023-09-29,762.78,450.6,2,0
2023-10-02,756.38,450.6,2,0
2023-10-03,744.84,450.54,2,0
2023-10-04,743.86,450.54,2,0
2023-10-05,745.26,450.54,2,0
2023-10-06,748.75,450.54,2,0
2023-10-09,764.68,450.54,2,0
2023-10-10,769.19,450.54,2,0
2023-10-11,765.61,450.54,2,0
2023-10-12,766.39,450.54,2,0
2023-10-13,752.64,299.93,3,0
2023-10-16,759.63,299.93,3,0
2023-10-17,764.18,299.93,3,0
2023-10-18,757.17,190.02,4,0
2023-10-19,742.59,190.02,4,0
2023-10-20,733.9,327.27,3,0
2023-10-23,731.49,430.46,2,0
2023-10-24,727.39,430.46,2,0
2023-10-25,728.73,430.46,2,0
2023-10-26,720.47,430.46,2,0
2023-10-27,715.58,431.88,2,0
2023-10-30,708.48,289.4,3,0
2023-10-31,714.14,431.59,2,0
2023-11-01,720.7,431.59,2,0
2023-11-02,724.94,286.2,3,0
2023-11-03,733.45,182.87,4,0
2023-11-06,723.35,182.87,4,1
2023-11-07,716.57,182.87,4,1
2023-11-08,712.08,314.18,3,1
2023-11-09,737.44,181.44,4,1
2023-11-10,738.96,181.44,4,0
2023-11-13,743.76,181.44,4,0
2023-11-14,771.57,181.44,4,0
2023-11-15,769.72,258.49,4,0
2023-11-16,767.28,192.25,5,0
2023-11-17,771.0,192.25,5,0
2023-11-20,782.87,192.25,5,1
2023-11-21,780.27,192.25,5,5
2023-11-22,783.53,192.25,5,7
2023-11-24,785.47,192.25,5,7
2023-11-27,794.63,192.25,5,6
2023-11-28,801.19,277.6,5,1
2023-11-29,802.27,277.6,5,2
2023-11-30,804.92,277.6,5,3
2023-12-01,820.12,277.6,5,10
2023-12-04,821.96,277.6,5,20
2023-12-05,819.48,277.6,5,28
2023-12-06,816.51,277.6,5,33
2023-12-07,819.45,277.6,5,31
2023-12-08,827.46,277.6,5,24
2023-12-11,822.68,277.6,5,28
2023-12-12,825.78,277.6,5,16
2023-12-13,845.11,277.6,5,16
2023-12-14,843.38,277.6,5,19
2023-12-15,841.24,277.6,5,33
2023-12-18,850.83,277.6,5,57
2023-12-19,872.02,277.6,5,53
2023-12-20,853.52,277.6,5,51
2023-12-21,869.27,277.6,5,34
2023-12-22,874.54,277.6,5,10
2023-12-26,878.2,277.6,5,12
2023-12-27,883.7,360.79,5,4
2023-12-28,882.05,360.79,5,4
2023-12-29,872.14,360.79,5,2
2024-01-02,858.07,360.79,5,3
2024-01-03,840.72,434.72,4,2
2024-01-04,842.0,535.68,3,2
2024-01-05,841.32,535.68,3,1
2024-01-08,843.45,535.68,3,1
2024-01-09,840.22,535.68,3,0
2024-01-10,835.14,209.44,5,0
2024-01-11,839.16,209.44,5,1
2024-01-12,835.86,209.44,5,1
2024-01-16,830.22,209.44,5,2
2024-01-17,823.34,282.87,4,1
2024-01-18,837.66,274.46,4,1
2024-01-19,840.08,210.4,5,1
2024-01-22,852.85,210.4,5,6
2024-01-23,845.19,210.4,5,12
2024-01-24,839.56,210.4,5,14
2024-01-25,848.48,210.4,5,16
2024-01-26,849.12,210.4,5,13
2024-01-29,862.67,210.4,5,14
2024-01-30,861.79,210.4,5,8
2024-01-31,846.5,210.4,5,13
2024-02-01,860.67,210.4,5,17
2024-02-02,876.54,210.4,5,21
2024-02-05,873.6,288.08,5,23
2024-02-06,878.19,288.08,5,16
2024-02-07,882.25,288.08,5,12
2024-02-08,893.48,288.08,5,10
2024-02-09,897.62,288.08,5,15
2024-02-12,907.2,288.08,5,25
2024-02-13,894.4,288.08,5,28
2024-02-14,907.64,288.08,5,30
2024-02-15,910.68,288.08,5,32
2024-02-16,913.19,288.08,5,33
2024-02-20,914.27,288.08,5,42
2024-02-21,918.97,288.08,5,26
2024-02-22,931.54,386.94,5,16
2024-02-23,937.33,386.94,5,9
2024-02-26,943.12,386.94,5,10
2024-02-27,945.34,479.99,5,5
2024-02-28,936.85,479.99,5,6
2024-02-29,941.45,563.32,4,7
2024-03-01,939.59,374.55,5,15
2024-03-04,946.22,374.55,5,17
2024-03-05,938.43,410.4,5,20
2024-03-06,946.38,410.4,5,18
2024-03-07,956.77,410.4,5,11
2024-03-08,951.98,410.4,5,12
2024-03-11,942.21,410.4,5,13
2024-03-12,958.3,410.4,5,7
2024-03-13,954.97,410.4,5,7
2024-03-14,948.7,410.4,5,7
2024-03-15,947.5,495.8,4,8
2024-03-18,942.08,308.15,5,15
2024-03-19,951.15,308.15,5,13
2024-03-20,964.81,308.15,5,10
2024-03-21,972.15,308.15,5,11
2024-03-22,972.84,308.15,5,6
2024-03-25,984.64,308.15,5,7
2024-03-26,992.56,308.15,5,8
2024-03-27,988.4,308.15,5,6
2024-03-28,987.78,308.15,5,7
2024-04-01,976.54,419.99,5,10
2024-04-02,966.34,419.99,5,10
2024-04-03,967.31,419.99,5,9
2024-04-04,954.61,599.42,4,10
2024-04-05,958.51,407.47,5,12
2024-04-08,964.29,407.47,5,13
2024-04-09,948.87,407.47,5,8
2024-04-10,945.64,500.85,4,4
2024-04-11,957.07,500.85,4,2
2024-04-12,948.54,500.85,4,1
2024-04-15,937.43,500.85,4,1
2024-04-16,943.66,528.79,3,0
2024-04-17,939.81,528.79,3,0
2024-04-18,946.57,340.91,4,0
2024-04-19,949.78,340.91,4,0
2024-04-22,966.25,340.91,4,0
2024-04-23,968.0,242.32,5,0
2024-04-24,953.4,242.32,5,0
2024-04-25,960.94,242.32,5,1
2024-04-26,965.73,331.7,4,3
2024-04-29,969.58,242.23,5,7
