symbol,strategy,trigger,confluence,signal_date,entry_date,entry_price,exit_date,exit_price,exit_reason,original_shares,remaining_shares,scaled_out,scale_out_date,scale_out_price,scale_out_shares,scale_out_proceeds,exit_proceeds,commission_paid,entry_commission,total_invested,total_returned,holding_days,stop_loss,take_profit,stdev_20,rsi_at_entry,vol_at_entry,from_queue,pnl,pnl_pct,win
ARM,momentum_breakout,breakout,2,2025-02-05,2025-02-06,162.162,2025-02-24,144.909938,trailing_stop,0.70614156,0.70614156,False,,0.0,0.0,0.0,101.326929,2.0,1.0,115.509327,101.326929,18,144.23978,191.35116,0.0552602325,61.93,1.836,False,-14.182398,-12.278141,0
RIVN,momentum_breakout,breakout,2,2025-02-20,2025-02-21,12.72271,2025-02-25,11.91807,stop_loss,9.00858133,9.00858133,False,,0.0,0.0,0.0,106.364906,2.0,1.0,115.613568,106.364906,4,11.961657,15.012798,0.0299092345,53.87,1.999,False,-9.248662,-7.999634,0
DASH,momentum_breakout,breakout,2,2025-02-03,2025-02-04,191.030836,2025-02-26,193.955844,trailing_stop,1.04026798,1.04026798,False,,0.0,0.0,0.0,200.766054,2.0,1.0,199.723263,200.766054,22,185.257887,225.416387,0.0151099939,68.51,1.61,False,1.042792,0.522118,1
URBN,momentum_breakout,breakout,2,2025-02-28,2025-03-03,58.498439,2025-03-07,53.556391,stop_loss,3.16972631,3.16972631,False,,0.0,0.0,0.0,168.7591,2.0,1.0,186.42404,168.7591,4,55.224462,69.028158,0.0279834565,57.1,1.642,False,-17.66494,-9.475677,0
VEEV,momentum_breakout,breakout,2,2025-03-07,2025-03-10,244.344106,2025-03-12,233.276485,stop_loss,0.71175445,0.71175445,False,,0.0,0.0,0.0,165.035577,2.0,1.0,174.913006,165.035577,2,232.655982,288.326045,0.0239173447,60.22,2.012,False,-9.877429,-5.647052,0
MT,momentum_breakout,breakout,2,2025-03-04,2025-03-05,31.398209,2025-03-13,30.290312,trailing_stop,5.87580181,5.87580181,False,,0.0,0.0,0.0,176.979871,2.0,1.0,185.489653,176.979871,8,29.171506,37.049887,0.0354590787,66.06,2.112,False,-8.509782,-4.587739,0
SCCO,momentum_breakout,breakout,2,2025-03-21,2025-03-24,92.518418,2025-03-28,87.354346,stop_loss,1.71151324,1.71151324,False,,0.0,0.0,0.0,148.50812,2.0,1.0,159.346497,148.50812,4,88.668349,109.171733,0.0208070386,57.56,3.143,False,-10.838377,-6.801767,0
PKX,momentum_breakout,breakout,2,2025-03-05,2025-03-06,49.716237,2025-03-31,46.499302,trailing_stop,2.89214048,2.89214048,False,,0.0,0.0,0.0,133.482513,2.0,1.0,144.786341,133.482513,25,46.547817,58.665159,0.0318650415,58.26,1.94,False,-11.303828,-7.807247,0
OKTA,momentum_breakout,breakout,2,2025-03-05,2025-03-06,114.474361,2025-04-02,102.897,trailing_stop,1.61018178,1.61018178,False,,0.0,0.0,0.0,164.682875,2.0,1.0,185.32453,164.682875,27,100.684953,135.079746,0.0602292407,74.94,2.811,False,-20.641655,-11.138113,0
DASH,momentum_breakout,breakout,2,2025-03-21,2025-03-24,193.002808,2025-04-04,165.484344,stop_loss,0.92853726,0.92853726,False,,0.0,0.0,0.0,152.658379,2.0,1.0,180.210298,152.658379,11,181.368929,227.743313,0.0301391424,52.16,7.53,False,-27.551919,-15.288759,0
